STT,Nhóm luật,Câu hỏi,Câu trả lời RAG,Trang PDF trích dẫn,Điểm Top Chunk,Thời gian (ms),Ý định (Intent),Điểm mấu chốt đối chiếu
1,Luật 11 - Việt vị,Thế nào là vị trí việt vị và thời điểm xác định một cầu thủ có việt vị hay không được tính vào lúc nào?,"Dựa trên các đoạn văn bản được cung cấp, câu trả lời cho câu hỏi của bạn như sau: **Thời điểm xác định:** Thời điểm xác định một cầu thủ có rơi vào vị trí việt vị hay không được tính là **khoảnh khắc bóng được đồng đội chạm hoặc chuyền đi** (điểm tiếp xúc đầu tiên với bóng). **Về vị trí việt vị và sự tham gia vào lối chơi:** Một cầu thủ ở vị trí việt vị chỉ bị phạt nếu vào thời điểm đồng đội chạm hoặc chuyền bóng, cầu thủ đó tham gia vào lối chơi tích cực bằng cách: * **Can thiệp vào lối chơi:** Chơi hoặc chạm vào bóng được đồng đội chuyền hoặc chạm vào. * **Can thiệp vào đối phương:** * Ngăn cản đối phương chơi bóng hoặc có khả năng chơi bóng bằng cách cản trở tầm nhìn của đối phương một cách rõ ràng. * Tranh chấp bóng với đối phương. * Cố gắng chơi bóng ở gần khi hành động này gây ảnh hưởng đến đối phương. * Có hành động rõ ràng gây ảnh hưởng đến khả năng chơi bóng của đối phương. * **Tạo lợi thế:** Chơi bóng hoặc cản trở đối phương khi bóng bật ra từ cột dọc, xà ngang, trọng tài hoặc đối phương, hoặc sau khi đối phương cứu thua một cách có chủ đích. Ngoài ra, không có lỗi việt vị nếu cầu thủ nhận bóng trực tiếp từ: quả phát bóng (goal kick), quả ném biên (throw-in), hoặc quả phạt góc (corner kick). (Tham khảo tại trang 51, 50–51, 51–52, 89 của PDF Law_fifa.pdf.)","trang 51, 50–51, 51–52, 89 của PDF Law_fifa.pdf",0.7128,9292.1,DOCUMENT_QUERY,"Vị trí: bất kỳ phần nào của đầu, thân mình, bàn chân ở phần sân đối phương và gần đường biên ngang đối phương hơn bóng và đối thủ áp chót. Thời điểm: tính vào khoảnh khắc bóng được đồng đội chuyền hoặc chạm vào."
2,Luật 12 - Lỗi chạm tay,Trọng tài căn cứ vào những tiêu chí nào để xác định một cầu thủ phạm lỗi dùng tay chơi bóng (handball)?,"Dựa trên các đoạn văn bản được cung cấp, trọng tài xác định một cầu thủ phạm lỗi dùng tay chơi bóng (handball) dựa trên các tiêu chí sau: **1. Các trường hợp được coi là phạm lỗi:** * **Chủ đích:** Cầu thủ cố tình chạm tay/cánh tay vào bóng, bao gồm cả hành động di chuyển tay/cánh tay về phía bóng. * **Ghi bàn:** Cầu thủ ghi bàn vào lưới đối phương trực tiếp từ tay/cánh tay của mình (ngay cả khi vô tình), kể cả đối với thủ môn. * **Tạo cơ hội ghi bàn:** Sau khi bóng chạm tay/cánh tay của cầu thủ hoặc đồng đội (ngay cả khi vô tình), cầu thủ đó hoặc đồng đội ngay lập tức ghi bàn hoặc tạo ra cơ hội ghi bàn. * **Vị trí tay/cánh tay:** Cầu thủ chạm bóng khi tay/cánh tay làm cho cơ thể trở nên ""to một cách bất thường"" hoặc tay/cánh tay ở vị trí cao hơn/vượt quá mức vai (trừ trường hợp cầu thủ chủ động chơi bóng rồi bóng mới chạm vào tay/cánh tay). * **Định nghĩa bộ phận cơ thể:** Ranh giới phía trên của cánh tay được xác định ngang bằng với điểm dưới cùng của nách. **2. Các trường hợp không được coi là phạm lỗi:** * Bóng chạm tay/cánh tay trực tiếp từ đầu hoặc cơ thể (bao gồm cả bàn chân) của chính cầu thủ đó. * Bóng chạm tay/cánh tay trực tiếp từ đầu hoặc cơ thể (bao gồm cả bàn chân) của một cầu thủ khác ở cự ly gần. * Tay/cánh tay ở vị trí gần cơ thể và không làm cho cơ thể trở nên ""to một cách bất thường"". * Khi cầu thủ ngã xuống, tay/cánh tay nằm giữa cơ thể và mặt đất để đỡ cơ thể, với điều kiện không mở rộng sang ngang hoặc lên trên. * **Lưu ý về tấn công:** Không tính là phạm lỗi nếu sau khi vô tình để bóng chạm tay, bóng di chuyển một khoảng cách nhất định (qua đường chuyền hoặc dẫn bóng) và/hoặc có thêm các đường chuyền khác trước khi dẫn đến bàn thắng hoặc cơ hội ghi bàn. **Đối với thủ môn:** * Bên ngoài khu vực phạt đền, thủ môn bị áp dụng các quy định về lỗi dùng tay chơi bóng như mọi cầu thủ khác. * Bên trong khu vực phạt đền, nếu thủ môn dùng tay chơi bóng khi không được phép, đội bạn sẽ được hưởng một quả đá phạt gián tiếp (không bị phạt thẻ). Tuy nhiên, nếu thủ môn chạm bóng lần thứ hai (bằng tay hoặc bộ phận khác) sau khi đưa bóng vào cuộc mà bóng chưa chạm cầu thủ khác, thủ môn phải bị xử lý kỷ luật nếu hành động đó ngăn cản một đợt tấn công triển vọng hoặc từ chối một cơ hội ghi bàn của đối phương. (Tham khảo tại trang 52–53, 53–54, 81 của PDF Law_fifa.pdf.)","trang 52–53, 53–54, 81 của PDF Law_fifa.pdf",0.7641,10883.4,DOCUMENT_QUERY,Cố ý dùng tay/cánh tay chạm bóng; tay mở rộng bất thường làm cơ thể phình to không tự nhiên; ghi bàn trực tiếp bằng tay hoặc ngay sau khi bóng chạm tay dù vô tình.
3,Luật 14 - Quả phạt đền,"Khi thực hiện quả phạt đền (penalty), thủ môn phải đứng ở vị trí nào trên vạch vôi?","Khi thực hiện quả phạt đền (penalty), thủ môn phải đứng ở vị trí: * Trên vạch vôi (goal line). * Đối diện với cầu thủ thực hiện quả phạt đền. * Ở giữa hai cột dọc khung thành. * Không được chạm vào cột dọc, xà ngang hoặc lưới khung thành cho đến khi bóng được đá đi. * Khi bóng được đá, thủ môn phải có ít nhất một phần bàn chân chạm vào hoặc nằm trên cùng đường thẳng với vạch vôi. (Tham khảo tại trang 62–63, 48–49, 61–62, 48, 63 của PDF Law_fifa.pdf.)","trang 62–63, 48–49, 61–62, 48, 63 của PDF Law_fifa.pdf",0.7796,12864.0,DOCUMENT_QUERY,"Thủ môn phải đứng trên vạch cầu môn, đối mặt cầu thủ sút, giữa 2 cột dọc; khi bóng được sút, ít nhất một phần của một bàn chân phải chạm hoặc ngang bằng với vạch vôi."
4,Luật 9 - Bóng trong & ngoài cuộc,Khi nào thì quả bóng được coi là đã hoàn toàn ra ngoài sân thi đấu hoặc đã thành bàn thắng?,"Dựa trên các đoạn văn bản được cung cấp, quả bóng được coi là đã ra ngoài sân hoặc thành bàn thắng trong các trường hợp sau: * **Quả bóng ra ngoài sân (bóng ngoài cuộc):** Theo đoạn [2], bóng được coi là ra ngoài sân khi nó đã hoàn toàn vượt qua đường biên ngang hoặc đường biên dọc (trên mặt đất hoặc trên không). * **Bàn thắng:** Theo đoạn [1], một bàn thắng được ghi khi toàn bộ quả bóng đã vượt qua đường cầu môn, nằm giữa hai cột dọc và dưới xà ngang, với điều kiện đội ghi bàn không phạm lỗi nào. (Tham khảo tại trang 46–47, 45–47, 51–52, 87–88, 44–45 của PDF Law_fifa.pdf.)","trang 46–47, 45–47, 51–52, 87–88, 44–45 của PDF Law_fifa.pdf",0.7203,7199.4,DOCUMENT_QUERY,Bóng chỉ được coi là ra ngoài sân hoặc thành bàn thắng khi TOÀN BỘ quả bóng đã hoàn toàn vượt qua vạch biên hoặc vạch cầu môn (dù trên mặt đất hay trên không).
5,Luật 3 - Số lượng cầu thủ,Số lượng cầu thủ tối thiểu trên sân của một đội để trận đấu có thể tiếp tục diễn ra là bao nhiêu?,"Số lượng cầu thủ tối thiểu trên sân của một đội để trận đấu có thể tiếp tục diễn ra là 7 người. (Tham khảo tại trang 24–25, 25, 49–50, 13–14, 27 của PDF Law_fifa.pdf.)","trang 24–25, 25, 49–50, 13–14, 27 của PDF Law_fifa.pdf",0.7138,8167.8,DOCUMENT_QUERY,"Một đội phải có tối thiểu 7 cầu thủ trên sân (bao gồm cả thủ môn). Nếu ít hơn 7 người, trận đấu sẽ bị dừng và không thể tiếp tục."
6,Luật 11 - Ngoại lệ việt vị,Cầu thủ đứng ở vị trí việt vị nhận bóng trực tiếp từ những tình huống cố định nào thì KHÔNG bị thổi phạt?,"Dựa vào ngữ cảnh được cung cấp (đoạn [1] và [2]), cầu thủ đứng ở vị trí việt vị nhận bóng trực tiếp từ những tình huống sau đây thì KHÔNG bị thổi phạt việt vị: * **Phát bóng (goal kick)** * **Ném biên (throw-in)** * **Phạt góc (corner kick)** (Tham khảo tại trang 51, 51–52, 80–81 của PDF Law_fifa.pdf.)","trang 51, 51–52, 80–81 của PDF Law_fifa.pdf",0.7413,8374.1,DOCUMENT_QUERY,"Không bị phạt việt vị nếu nhận bóng trực tiếp từ: quả ném biên (throw-in), quả phạt góc (corner kick), hoặc quả phát bóng (goal kick)."
7,Luật 9 - Bóng chạm trọng tài,"Nếu bóng vô tình đập trúng người trọng tài rồi bay thẳng vào lưới thì bàn thắng có được công nhận không, xử lý thế nào?","Dựa vào ngữ cảnh được cung cấp, câu trả lời như sau: Theo **đoạn [2]**, bóng vẫn được coi là trong cuộc (in play) khi nó chạm vào trọng tài (miễn là bóng vẫn ở trong sân). Theo **đoạn [2]**, một bàn thắng chỉ được công nhận khi toàn bộ quả bóng đi qua vạch cầu môn, giữa hai cột dọc và dưới xà ngang, với điều kiện không có lỗi nào xảy ra bởi đội ghi bàn. Vì vậy, nếu bóng đập trúng trọng tài rồi bay vào lưới mà không có lỗi nào xảy ra trước đó, bàn thắng **sẽ được công nhận**. Trọng tài không vi phạm quy định nào trong việc bóng chạm người trong tình huống này, vì bóng được coi là vẫn đang trong cuộc. (Tham khảo tại trang 33, 46–47, 28, 51, 95–96 của PDF Law_fifa.pdf.)","trang 33, 46–47, 28, 51, 95–96 của PDF Law_fifa.pdf",0.71,7992.7,DOCUMENT_QUERY,Bàn thắng KHÔNG được công nhận. Trọng tài cho dừng trận đấu và thả bóng rơi (dropped ball) cho thủ môn của đội phòng ngự trong vòng cấm.
8,Luật 12 - Lỗi chuyền về,Hậu vệ cố ý dùng chân chuyền bóng về và thủ môn dùng tay bắt bóng trong vòng cấm thì trọng tài xử phạt như thế nào?,"Câu trả lời: Dựa vào các đoạn văn bản được cung cấp, tình huống này **không được coi là lỗi dùng tay (handball)**. Theo ngữ cảnh [1] và [3], quy định về lỗi dùng tay của thủ môn trong vòng cấm như sau: * Thủ môn có các hạn chế về việc dùng tay chơi bóng giống như bất kỳ cầu thủ nào khác khi ở bên ngoài vòng cấm địa. * Nếu thủ môn dùng tay chơi bóng bên trong vòng cấm địa khi **không được phép**, một quả phạt gián tiếp sẽ được trao cho đội đối phương. Tuy nhiên, việc hậu vệ dùng chân (hoặc các bộ phận cơ thể khác) chuyền bóng về cho thủ môn là một tình huống chơi bóng hợp lệ (không phải là lỗi dùng tay của hậu vệ). Do đó, thủ môn được phép dùng tay bắt bóng trong tình huống này mà không vi phạm luật. (Tham khảo tại trang 53–54, 52–53, 81, 80–81 của PDF Law_fifa.pdf.)","trang 53–54, 52–53, 81, 80–81 của PDF Law_fifa.pdf",0.7622,6209.6,DOCUMENT_QUERY,Trọng tài thổi phạt gián tiếp (Indirect free kick) cho đối phương tại nơi thủ môn chạm tay vào bóng. Không có thẻ phạt cá nhân nào.
9,Luật 14 - Đá bồi phạt đền,"Cầu thủ thực hiện quả phạt đền sút trúng xà ngang bật ra, cầu thủ đó lao vào đá bồi ghi bàn mà chưa có ai chạm bóng thì bàn thắng có hợp lệ không?","Câu trả lời: **Bàn thắng không hợp lệ.** Dựa trên các đoạn văn bản được cung cấp (đoạn [2], [3] và [4]): - Theo quy định, cầu thủ thực hiện quả phạt đền không được phép chạm bóng lần thứ hai cho đến khi bóng đã chạm một cầu thủ khác. - Nếu cầu thủ thực hiện quả phạt đền chạm bóng lần thứ hai (trong trường hợp này là đá bồi) trước khi bóng chạm người khác, trọng tài sẽ thổi phạt và cho đội phòng ngự hưởng một quả **đá phạt gián tiếp** (hoặc đá phạt trực tiếp nếu lỗi dùng tay chơi bóng). Do đó, hành động lao vào đá bồi khi chưa có cầu thủ nào khác chạm bóng là vi phạm luật, và bàn thắng không được công nhận. (Tham khảo tại trang 63–64, 63, 61–62, 62–63 của PDF Law_fifa.pdf.)","trang 63–64, 63, 61–62, 62–63 của PDF Law_fifa.pdf",0.7446,4500.2,DOCUMENT_QUERY,Bàn thắng KHÔNG hợp lệ vì lỗi chạm bóng hai lần liên tiếp (double touch). Trọng tài cho đội phòng ngự hưởng quả phạt gián tiếp tại vị trí bóng bị chạm lần hai.
10,Luật 12 - Ném biên cho thủ môn,Thủ môn có được dùng tay bắt quả bóng ném biên do chính đồng đội của mình ném vào không?,"Dựa trên các đoạn văn bản được cung cấp, thủ môn **không được phép** dùng tay bắt bóng nếu đó là tình huống đồng đội thực hiện quả ném biên. Giải thích cụ thể từ tài liệu: * Theo quy định tại **[1]**, nếu người ném biên chạm bóng lần thứ hai trước khi bóng chạm một cầu thủ khác, một quả phạt gián tiếp sẽ được trao. * Theo **[3]**, thủ môn phải tuân theo các hạn chế về việc dùng tay chơi bóng giống như bất kỳ cầu thủ nào khác. * Nếu thủ môn cố tình chạm bóng lần thứ hai (bằng tay hoặc bộ phận khác) sau khi quả ném biên được thực hiện mà bóng chưa chạm cầu thủ khác, thủ môn phải bị xử lý kỷ luật nếu hành động đó ngăn cản một đợt tấn công triển vọng hoặc từ chối một cơ hội ghi bàn của đối phương. (Tham khảo tại trang 65–67, 65–66, 53–54, 64–65, 52–53 của PDF Law_fifa.pdf.)","trang 65–67, 65–66, 53–54, 64–65, 52–53 của PDF Law_fifa.pdf",0.7508,6112.6,DOCUMENT_QUERY,"KHÔNG được phép. Nếu thủ môn dùng tay bắt bóng từ quả ném biên trực tiếp của đồng đội, đội đối phương được hưởng quả phạt gián tiếp."
